Job,Salary,Company,Location
Ingeniero en soporte de redes B,"$8,000 - $8,800  Mensual",BODESA SAPI DE CV,
TÉCNICO MECÁNICO,Sueldo no mostrado por la empresa,Asoc. Mexicana de Dist...,
Técnico en Reparación de Celulares,Sueldo no mostrado por la empresa,Servicios Empresariale...,
BASE DE DATOS POSTGRETS,"$40,000 - $50,000  Mensual",SYE SOFTWARE S.A. DE C...,
EXPERTO/A SOPORTE - MX,Sueldo no mostrado por la empresa,Pegaso PCS,
Auxiliar de soporte técnico,"$6,500  Mensual",BRUM RAMIREZ ASESORES ...,
Analista de Base de Datos,Sueldo no mostrado por la empresa,Grupo Kasa,
PRACTICAS ING. Investigación y Desarrollo- Diseño de 3D,Sueldo no mostrado por la empresa,SIEMENS SA DE CV,
Recién egresado Electrónica / Electricidad,"$12,000  Mensual",Indra,
Técnico de Soporte a ERP - Zona Las Pintas,Sueldo no mostrado por la empresa,Worken,
Asistente de Ventas,"$5,000 - $6,500  Mensual",Rossbach de Mexico SA ...,
GERENTE DE ARQUITECTURA TI,"$80,000 - $90,000  Mensual",,
Dotador de Cajero,Sueldo no mostrado por la empresa,Servicio Pan Americano...,
Analista de Datos Bussines Intelligence,Sueldo no mostrado por la empresa,Comercializadora de Va...,
Arquitecto de soluciones TI,"$30,000 - $33,000  Mensual","Red Office, S. de R.L....",
ADMINISTRADOR DE SERVIDORES,"$34,000 - $35,000  Mensual",ZAPATA,
Propuestas tecnico comerciales y evaluacion de proyectos,"$50,000 - $55,000  Mensual",,
Técnico de mantenimiento,"$18,000 - $22,000  Mensual",Adecco,
Analista programador Java,Sueldo no mostrado por la empresa,,
Tester Manual Proficient,Sueldo no mostrado por la empresa,Softtek,
Ejecutivo de Soporte técnico Redes,"$10,000 - $11,500  Mensual",MAVI DE OCCIDENTE SA D...,
It project manager,Sueldo no mostrado por la empresa,COMPLEX ADAPTIVE SYSTE...,
Tramitador / Revisor - Agencia Aduanal (Imp - Exp),Sueldo no mostrado por la empresa,,
TTech_UCaaS Presales Engineer,Sueldo no mostrado por la empresa,Pegaso PCS,
Ingeniero de soporte tecnico,Sueldo no mostrado por la empresa,Hitss,
Laboratorista,Sueldo no mostrado por la empresa,SERVICIOS ADMINISTRATI...,
Comprador sr,"$18,000 - $20,000  Mensual",,
Consultor Saleforce,Sueldo no mostrado por la empresa,Tecnologías Avanzadas ...,
INGENIERO SOPORTE DBA,Sueldo no mostrado por la empresa,Banca Afirme,
Gerente de Unidad Comercialización Digital,Sueldo no mostrado por la empresa,Comercializadora de Va...,
Residente de instalaciones eléctricas,"$20,000 - $25,000  Mensual",PRESTADORA DE SERVICIO...,
PERSONAL PARA SUPERVISAR SOPORTE TÉCNICO,Sueldo no mostrado por la empresa,,
Analista administrativo jr,"$9,000  Mensual",OMNI PRINTER SA DE CV,
Ingeniero de soporte técnico,"$10,000 - $14,000  Mensual",EMPORIUM BUSINESS GROUP,
Coordinador de mantenimiento,Sueldo no mostrado por la empresa,SINCRO SA,
Especialista de Seguridad en Aplicativos,"$20,000 - $25,000  Mensual",CREDICLUB SA DE CV SOC...,
Analista de calidad,"$8,000 - $10,000  Mensual",Grupo Salinas,
AUXILIAR DE MERCADOTECNICA,"$8,000 - $10,000  Mensual",Adecco,
